,Region,Teams,id
0,Atlantic,Boston Celtics,1610612738
1,Central,Chicago Bulls,1610612741
2,Southeast,Atlanta Hawks,1610612737
3,Northwest,Denver Nuggets,1610612743
4,Pacific,Golden State Warriors,1610612744
5,Southwest,Dallas Mavericks,1610612742
6,Atlantic,Brooklyn Nets,1610612751
7,Central,Cleveland Cavaliers,1610612739
8,Southeast,Charlotte Hornets,1610612766
9,Northwest,Minnesota Timberwolves,1610612750
10,Pacific,LA Clippers,1610612746
11,Southwest,Houston Rockets,1610612745
12,Atlantic,New York Knicks,1610612752
13,Central,Detroit Pistons,1610612765
14,Southeast,Miami Heat,1610612748
15,Northwest,Oklahoma City Thunder,1610612760
16,Pacific,Los Angeles Lakers,1610612747
17,Southwest,Memphis Grizzlies,1610612763
18,Atlantic,Philadelphia 76ers,1610612755
19,Central,Indiana Pacers,1610612754
20,Southeast,Orlando Magic,1610612753
21,Northwest,Portland Trail Blazers,1610612757
22,Pacific,Phoenix Suns,1610612756
23,Southwest,New Orleans Pelicans,1610612740
24,Atlantic,Toronto Raptors,1610612761
25,Central,Milwaukee Bucks,1610612749
26,Southeast,Washington Wizards,1610612764
27,Northwest,Utah Jazz,1610612762
28,Pacific,Sacramento Kings,1610612758
29,Southwest,San Antonio Spurs,1610612759
