player_id,ppg,rpg,apg,pie
1628369,32.3,7.2,4.1,17.8
203943,2.1,3.3,0.4,3.1
1627759,25.3,6.8,3.3,12.2
201568,11.7,4.7,1.5,9.9
1628401,8.4,3.4,2.9,7.7
1630202,4.5,1.8,1.2,6.6
1629684,9.5,4.8,1.9,9.3
1627763,13.7,3.8,3.5,13.5
1631120,,1.0,1.0,28.6
1629662,2.4,1.5,0.4,6.5
1630573,7.5,2.0,0.6,9.8
203935,10.5,3.1,7.0,7.9
1628436,3.3,3.2,1.3,9.6
201143,11.2,6.1,2.1,9.9
1629057,10.0,9.6,2.0,14.0
1628382,2.0,0.3,0.3,3.0
201933,4.0,3.0,0.8,6.8
1626220,10.3,4.6,4.1,6.4
203933,15.5,3.5,1.3,7.2
1628410,7.8,1.8,1.5,9.2
1630561,3.6,1.3,0.6,4.5
201142,30.6,6.6,5.3,19.3
201988,5.4,0.8,0.9,7.9
1627732,5.2,6.2,5.9,7.5
202681,26.9,5.1,5.1,13.6
203925,7.8,3.6,2.0,6.4
202693,2.5,2.0,1.1,4.4
1630556,0.5,0.3,0.3,5.8
1629139,6.1,2.6,0.6,9.9
1630549,2.4,3.2,0.6,4.7
1630560,9.3,1.8,2.2,10.1
203552,9.8,1.6,2.2,10.4
1631214,,,,
1629651,11.9,9.1,1.2,13.7
1629629,8.3,1.8,1.1,5.8
1630167,10.1,3.9,1.1,12.8
1630540,,,0.5,-7.7
1631211,,1.0,,
201565,6.2,1.9,2.2,9.0
1630193,8.8,4.9,3.2,11.2
1629656,2.0,0.6,0.4,0.6
1629628,18.9,5.4,2.8,9.1
1628973,19.5,3.5,6.8,14.3
203095,6.9,2.1,1.7,4.4
1629004,3.0,0.7,,45.0
1629011,6.5,6.4,1.0,8.5
203944,20.8,9.1,3.4,11.9
1630624,,0.5,0.5,-8.3
1630579,2.9,3.0,0.1,7.8
1627853,,0.7,0.3,10.0
1628392,7.8,8.3,0.9,9.3
1630178,22.8,3.4,4.4,10.4
201935,22.0,7.0,10.0,17.4
1626149,4.3,2.1,0.4,7.9
1629001,8.8,4.3,2.7,9.7
1630531,2.5,1.0,,30.8
202699,14.7,6.2,2.9,11.6
200782,4.9,4.4,0.8,4.4
1629003,3.9,2.0,1.4,5.2
1627777,8.4,1.9,0.7,8.1
203954,32.3,10.1,4.1,20.8
1629680,1.5,1.5,0.6,3.3
1627863,3.9,1.7,0.8,4.3
1627788,2.8,0.8,0.6,15.3
1630701,,,,
1630194,0.5,1.6,0.1,1.3
1630577,,,,
1628384,17.2,6.1,1.8,9.8
1630567,13.8,6.6,4.9,10.6
1630173,8.8,7.0,1.3,10.5
1631199,,,,-4.7
1630551,3.0,1.5,,16.5
1630288,2.0,0.5,1.0,9.6
201152,3.4,2.7,1.2,8.1
1630201,5.6,1.0,0.6,7.1
1627832,18.4,3.7,6.8,12.2
203920,2.3,1.3,0.3,5.1
1628449,11.4,5.5,0.6,10.6
203490,6.3,2.6,1.1,10.0
1629018,16.6,1.9,1.4,7.7
1631132,3.7,3.4,0.5,2.3
1627823,2.0,2.3,0.9,8.0
1627783,24.8,9.3,7.7,16.8
1630625,4.9,1.2,0.9,9.7
1629632,8.1,1.7,1.7,4.1
1628366,13.0,5.4,5.1,9.7
203083,8.6,9.6,0.9,17.1
1627884,5.8,2.7,0.6,9.5
1627936,4.4,3.3,3.8,6.1
201609,10.1,1.9,3.6,10.5
203897,21.9,3.9,4.1,11.5
202696,16.0,11.5,2.9,13.3
201942,23.9,3.9,4.2,13.6
1630245,11.7,3.8,3.2,8.0
1628396,0.5,1.3,,13.8
1630792,,0.3,,66.7
1630250,,,,-10.0
1629750,6.0,3.2,0.9,8.2
1631207,1.1,0.3,0.5,3.8
1628961,0.8,1.3,0.1,0.5
1630172,9.3,3.7,0.8,6.6
201567,12.2,7.5,2.6,17.1
1627747,13.8,4.8,5.3,8.3
1630596,14.8,7.5,2.2,10.1
1630205,5.3,1.8,0.3,5.3
1629685,2.2,1.8,0.7,6.9
1629636,21.1,2.3,8.0,11.2
201937,13.1,4.1,6.6,11.1
1630600,3.0,1.0,,18.2
1626224,8.9,2.4,1.8,6.6
203526,3.6,1.5,1.6,9.2
1629603,0.7,0.7,,3.4
1628386,14.0,11.5,1.2,13.9
1629731,7.3,3.3,1.0,8.2
201577,3.8,1.6,0.4,8.0
1630171,2.6,1.5,0.4,-0.1
1628378,31.6,4.7,6.1,17.0
1631105,6.5,7.4,0.4,8.9
1630595,19.9,6.2,6.0,10.9
203457,2.8,3.8,0.8,8.8
202692,17.0,2.0,1.0,7.5
1628977,5.6,3.0,0.7,5.3
1630165,5.3,2.5,3.6,3.6
1630296,2.0,0.5,,16.7
1630587,5.8,2.8,0.5,4.9
203585,1.0,0.8,0.2,2.6
202709,3.5,0.9,2.4,7.8
1628995,1.8,1.0,0.1,-4.3
1631093,15.8,5.1,3.8,9.3
1631205,,,,
1630191,12.2,9.7,1.4,10.9
1628963,4.0,4.0,1.0,10.2
1630180,16.1,4.6,1.4,9.2
202711,20.3,3.4,1.9,11.4
1630169,20.5,4.8,10.3,15.9
