,Player ID,PPG,RPG,APG,PIE
0,1628369,31.9,7.4,3.9,17.5
1,203943,1.9,3.0,0.3,2.5
2,1627759,25.4,6.8,3.5,12.0
3,201568,11.7,4.7,1.5,9.9
4,1628401,8.9,3.2,3.1,8.1
5,1630202,5.3,2.1,1.1,8.7
6,1629684,9.3,5.0,1.8,9.2
7,1627763,13.7,3.8,3.5,13.5
8,1631120,,1.0,1.0,28.6
9,1629662,2.4,1.5,0.4,6.5
10,1630573,7.4,1.9,0.6,9.5
11,203935,11.4,3.2,7.1,8.5
12,1628436,3.0,3.0,1.2,9.1
13,201143,11.3,6.5,2.3,10.0
14,1629057,10.0,9.6,2.0,14.0
15,1628382,2.0,0.3,0.3,3.0
16,201933,4.0,3.0,0.8,6.8
17,1626220,10.3,4.6,4.1,6.4
18,203933,15.5,3.5,1.3,7.2
19,1628410,7.8,1.8,1.5,9.2
20,1630561,3.6,1.3,0.6,4.5
21,201142,30.6,6.6,5.3,19.3
22,201988,5.4,0.8,0.9,7.9
23,1627732,5.2,6.2,5.9,7.5
24,202681,26.9,5.1,5.1,13.6
25,203925,7.8,3.6,2.0,6.4
26,202693,2.5,2.0,1.1,4.4
27,1630556,0.5,0.3,0.3,5.8
28,1629139,6.1,2.6,0.6,9.9
29,1630549,2.4,3.2,0.6,4.7
30,1630560,9.3,1.8,2.2,10.1
31,203552,9.8,1.6,2.2,10.4
32,1631214,,,,
33,1629651,11.9,9.1,1.2,13.7
34,1629629,8.3,1.8,1.1,5.8
35,1630167,10.1,3.9,1.1,12.8
36,1630540,,,0.5,-7.7
37,1631211,,1.0,,
38,201565,6.2,1.9,2.2,9.0
39,1630193,8.8,4.9,3.2,11.2
40,1629656,2.0,0.6,0.4,0.6
41,1629628,18.9,5.4,2.8,9.1
42,1628973,19.5,3.5,6.8,14.3
43,203095,6.9,2.1,1.7,4.4
44,1629004,3.0,0.7,,45.0
45,1629011,6.5,6.4,1.0,8.5
46,203944,20.8,9.1,3.4,11.9
47,1630624,,0.5,0.5,-8.3
48,1630579,2.9,3.0,0.1,7.8
49,1627853,,0.7,0.3,10.0
50,1628392,7.8,8.3,0.9,9.3
51,1630178,22.8,3.4,4.4,10.4
52,201935,22.0,7.0,10.0,17.4
53,1626149,4.3,2.1,0.4,7.9
54,1629001,8.8,4.3,2.7,9.7
55,1630531,2.5,1.0,,30.8
56,202699,14.7,6.2,2.9,11.6
57,200782,4.9,4.4,0.8,4.4
58,1629003,3.9,2.0,1.4,5.2
59,1627777,8.4,1.9,0.7,8.1
60,203954,32.3,10.1,4.1,20.8
61,1629680,1.5,1.5,0.6,3.3
62,1627863,3.9,1.7,0.8,4.3
63,1627788,2.8,0.8,0.6,15.3
64,1630701,,,,
65,1630194,0.5,1.6,0.1,1.3
66,1630577,,,,
67,1628384,17.3,6.1,1.9,9.6
68,1630567,13.4,6.5,4.9,10.4
69,1630173,8.8,7.0,1.3,10.5
70,1631199,,,,-4.7
71,1630551,3.0,1.5,,16.5
72,1630288,2.7,1.7,1.3,9.3
